"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"Mercedes-Benz A Class",15900,62402,2019,1,"Petrol","Hatchback","1.3L","Automatic",5,5
"BMW 3 Series",2495,113000,2009,6,"Petrol","Saloon","2.0L","Manual",4,5
"Chevrolet Captiva",2495,93000,2008,3,"Petrol","SUV","2.4L","Manual",5,5
"Ford Focus",1695,100000,2007,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"MINI Hatch",5995,94000,2015,NA,"Petrol","Hatchback","1.5L","Manual",3,4
"Vauxhall Corsa",12000,20413,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Fiat 500",4250,78033,2015,1,"Petrol","Hatchback","1.2L","Manual",3,4
"Vauxhall Corsa",13995,6461,2020,1,"Petrol","Hatchback","1.2L","Manual",5,5
"Mercedes-Benz C Class",5250,121700,2013,5,"Petrol","Coupe","1.6L","Automatic",2,4
"Volkswagen Golf",2950,98207,2007,4,"Petrol","Hatchback","1.6L","Automatic",5,5
"KIA Sportage",8490,50000,2014,1,"Petrol","SUV","1.6L","Manual",5,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Nissan Micra",6550,104000,2017,2,"Diesel","Hatchback","1.5L","Manual",5,5
"KIA Ceed",5995,103000,2016,4,"Diesel","Estate","1.6L","Manual",5,5
"Audi A1",11995,46450,2013,NA,"Petrol","Hatchback","1.4L","Automatic",5,5
"Ssangyong Korando",12995,42771,2018,2,"Diesel","SUV","2.2L","Automatic",5,5
"Citroen Xsara Picasso",995,110000,2007,3,"Diesel","MPV","1.6L","Manual",5,5
"Nissan Juke",4225,108600,2013,1,"Petrol","SUV","1.6L","Manual",5,5
"Vauxhall Corsa",3495,71844,2012,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Peugeot 206 CC",1489,93000,2005,NA,"Petrol","Convertible","1.6L","Automatic",2,4
"Hyundai i20",2945,88000,2012,3,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Adam",5695,64337,2014,2,"Petrol","Hatchback","1.4L","Manual",3,4
"Mazda Mazda6",6400,86000,2013,5,"Diesel","Saloon","2.2L","Manual",4,5
"Vauxhall Astra",3995,75000,2013,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Audi A4",7990,80000,2012,NA,"Petrol","Saloon","1.8L","Manual",4,5
"Vauxhall Adam",7695,71000,2015,3,"Petrol","Hatchback","1.4L","Manual",3,4
"BMW X1",6500,99000,2011,2,"Diesel","SUV","2.0L","Automatic",5,5
"Ford Fiesta",999,99000,2004,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"Mercedes-Benz C Class",2495,135000,2007,NA,"Diesel","Estate","2.1L","Automatic",5,5
"KIA Stonic",18750,12875,2022,NA,"Petrol Hybrid","SUV","1.0L","Manual",5,5
"Vauxhall Insignia",2950,79000,2011,4,"Petrol","Hatchback","1.8L","Manual",5,5
"Nissan Qashqai Diesel Hatchback",11964,56754,2016,1,"Diesel","SUV","1.5L","Manual",5,5
"Volkswagen Polo",3495,127000,2015,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"Volkswagen Polo",895,117850,2008,4,"Petrol","Hatchback","1.2L","Manual",3,5
"SKODA Fabia",2495,124138,2011,3,"Petrol","Hatchback","1.2L","Automatic",5,5
"Toyota Yaris",750,161000,1999,8,"Petrol","Hatchback","1.3L","Manual",3,5
