"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"Peugeot 306",2695,25240,1997,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Renault Clio",1990,120863,2012,NA,"Petrol","Hatchback","1.1L","Manual",3,5
"Peugeot 3008",15999,48463,2019,1,"Diesel","SUV","1.5L","Manual",5,5
"Renault Megane",2489,129000,2013,4,"Diesel","Hatchback","1.5L","Manual",5,5
"Ford Focus",4950,100000,2012,4,"Petrol","Estate","1.6L","Automatic",5,5
"Mercedes-Benz GLE Class",33900,92000,2019,1,"Diesel","SUV","2.0L","Automatic",5,5
"SKODA Octavia",799,117072,2005,4,"Diesel","Hatchback","1.9L","Manual",5,5
"Mitsubishi Outlander",795,98000,2012,5,"Diesel","SUV","2.2L","Manual",5,7
"Volkswagen Polo",2870,125392,2010,1,"Petrol","Hatchback","1.2L","Manual",3,5
"Toyota Yaris",2995,81224,2006,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"Volkswagen Polo",1895,87100,2005,5,"Petrol","Hatchback","1.2L","Manual",3,5
"BMW 3 Series",2495,94350,2007,4,"Petrol","Saloon","2.0L","Manual",4,5
"Suzuki Ignis",8298,56118,2017,NA,"Petrol","Hatchback","1.2L","Manual",5,4
"Nissan Juke",6399,68000,2014,2,"Diesel","SUV","1.5L","Manual",5,5
"Nissan Qashqai+2",5490,102000,2013,3,"Petrol","SUV","1.6L","Manual",5,7
"Ford Focus",4999,85694,2014,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Toyota Verso",1575,118000,2010,3,"Diesel","MPV","2.0L","Manual",5,7
"Mercedes-Benz C Class",4950,112000,2008,NA,"Petrol","Saloon","3.5L","Automatic",4,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"BMW X5",12000,86000,2010,NA,"Petrol","SUV","4.4L","Automatic",5,5
"Toyota Yaris",1450,95232,2003,2,"Petrol","Hatchback","1.0L","Manual",3,5
"BMW X1",6850,90000,2013,7,"Diesel","SUV","2.0L","Manual",5,5
"Honda Civic",1389,68000,2002,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Volkswagen Passat",5990,124700,2015,2,"Diesel","Saloon","1.6L","Manual",4,5
"Peugeot 208",3250,106500,2013,2,"Petrol","Hatchback","1.2L","Manual",5,5
"BMW X1",12650,55650,2016,1,"Diesel","SUV","2.0L","Automatic",5,5
"Vauxhall Astra",2995,61038,2007,NA,"Petrol","Hatchback","1.6L","Manual",3,5
"Volkswagen Tiguan",5995,70000,2009,4,"Petrol","SUV","2.0L","Automatic",5,5
"Ford Mondeo",1895,110000,2008,4,"Diesel","Hatchback","1.8L","Manual",5,5
"Land Rover Discovery Sport",23600,41995,2017,NA,"Diesel","SUV","2.0L","Automatic",5,7
"Volkswagen Scirocco",9750,124000,2016,1,"Diesel","Hatchback","2.0L","Manual",3,4
"Toyota Yaris",1295,90924,2002,NA,"Petrol","Hatchback","1.3L","Manual",5,5
"Alfa Romeo Giulietta",4450,49000,2011,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Vauxhall Astra",1595,152000,2011,4,"Diesel","Estate","1.7L","Manual",5,5
"Nissan Micra",1650,85285,2009,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Astra",2995,61038,2007,NA,"Petrol","Hatchback","1.6L","Manual",3,5
"SKODA Yeti",7990,112000,2015,2,"Diesel","SUV","2.0L","Manual",5,5
"Ford Fiesta",2490,42800,2007,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Peugeot 407",2150,99000,2006,NA,"Diesel","Coupe","2.7L","Automatic",2,4
"Mercedes-Benz A Class",9250,79500,2015,2,"Diesel","Hatchback","1.5L","Automatic",5,5
"Peugeot 308",9149,55301,2016,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Volvo S80",4495,72000,2006,3,"Petrol","Saloon","2.5L","Automatic",4,5
"Suzuki Alto",2495,83000,2014,1,"Petrol","Hatchback","1.0L","Manual",5,4
"Mercedes-Benz C Class",15995,87000,2017,NA,"Diesel","Convertible","2.1L","Automatic",2,4
"BMW 4 Series",11495,120000,2016,NA,"Diesel","Coupe","2.0L","Automatic",2,4
"Renault Clio",1990,120863,2012,NA,"Petrol","Hatchback","1.1L","Manual",3,5
"Vauxhall Adam",6695,27228,2013,1,"Petrol","Hatchback","1.4L","Manual",3,4
"BMW 2 Series",13444,78000,2014,NA,"Diesel","Coupe","2.0L","Automatic",2,4
"Honda Civic",9198,78691,2018,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"SKODA Rapid",2495,134000,2012,8,"Diesel","Hatchback","1.6L","Manual",5,5
"KIA Picanto",3990,26500,2009,3,"Petrol","Hatchback","1.1L","Automatic",5,4
"Mazda MX-5",11399,41534,2015,1,"Petrol","Convertible","1.5L","Manual",2,2
"Mercedes-Benz C Class",6495,122000,2015,5,"Diesel","Coupe","2.1L","Automatic",2,4
"Volvo V70",795,274100,2004,6,"Petrol","Estate","2.4L","Automatic",5,5
"Abarth 595",11699,42237,2018,NA,"Petrol","Hatchback","1.4L","Manual",3,4
"Jaguar XF",6990,70000,2011,NA,"Diesel","Saloon","2.2L","Automatic",4,5
"Vauxhall Grandland X",13499,20114,2019,1,"Petrol","SUV","1.2L","Manual",5,5
"Toyota Corolla",13990,42817,2019,1,"Petrol Hybrid","Hatchback","1.8L","Automatic",5,5
"KIA Sportage",10198,50028,2016,NA,"Petrol","SUV","1.6L","Manual",5,5
"SKODA Fabia",999,85010,2001,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Honda Civic",9198,78691,2018,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Vauxhall Astra",2995,61038,2007,NA,"Petrol","Hatchback","1.6L","Manual",3,5
"SEAT Ibiza",2799,99061,2011,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Nissan Qashqai",12299,68273,2017,3,"Diesel","SUV","1.6L","Manual",5,5
"SEAT Leon",10995,76000,2017,NA,"Diesel","Hatchback","2.0L","Manual",5,NA
"Vauxhall Corsa",1795,63796,2008,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Audi A4 Avant",5995,105000,2010,3,"Diesel","Estate","3.0L","Automatic",5,5
"Vauxhall Astra",2300,64000,2010,6,"Petrol","Hatchback","1.4L","Manual",5,5
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"BMW 3 Series",3995,139000,2013,NA,"Diesel","Saloon","2.0L","Manual",4,5
"Vauxhall Corsa",1999,122000,2009,3,"Petrol","Hatchback","1.4L","Automatic",5,5
"SEAT Leon",3000,126000,2014,7,"Diesel","Hatchback","1.6L","Manual",5,5
"MINI Hatch",3995,59000,2010,NA,"Petrol","Hatchback","1.6L","Manual",3,4
"Toyota Yaris",13000,51179,2019,1,"Petrol Hybrid","Hatchback","1.5L","Automatic",5,5
"Renault Megane Hatch",14577,34453,2020,1,"Diesel","Hatchback","1.5L","Automatic",5,5
"Fiat Punto EVO",2495,81858,2011,4,"Petrol","Hatchback","1.4L","Manual",5,5
"KIA Sportage",10198,50028,2016,NA,"Petrol","SUV","1.6L","Manual",5,5
"MINI Hatch",999,95942,2009,7,"Petrol","Hatchback","1.4L","Manual",3,4
"Vauxhall Insignia",6995,64387,2016,2,"Diesel","Hatchback","2.0L","Manual",5,5
"Volkswagen Polo",6250,72000,2014,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Hyundai Ioniq",15399,44434,2021,1,"Petrol Hybrid","Hatchback","1.6L","Automatic",5,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Hyundai ix35",5490,59858,2012,2,"Diesel","SUV","1.7L","Manual",5,5
"Peugeot 207",1250,110000,2007,4,"Petrol","Hatchback","1.4L","Manual",5,5
"Nissan Note",1993,94200,2009,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Ford Focus",1499,113187,2008,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Honda Civic",1750,110000,2002,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Suzuki Swift",1450,109000,2006,NA,"Petrol","Hatchback","1.3L","Manual",5,5
"Mercedes-Benz A Class",13995,106000,2019,2,"Petrol","Hatchback","1.3L","Manual",5,5
"Land Rover Freelander 2",7295,102465,2012,1,"Diesel","SUV","2.2L","Automatic",5,5
"Nissan Qashqai+2",1895,129100,2013,6,"Diesel","SUV","1.5L","Manual",5,7
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Citroen Berlingo",1495,92700,2004,NA,"Diesel","MPV","2.0L","Manual",5,5
"Fiat 500",5900,45000,2016,2,"Petrol","Hatchback","1.2L","Manual",3,4
"BMW 3 Series",19800,69690,2019,1,"Petrol Plug-in Hybrid","Saloon","2.0L","Automatic",4,5
"Volkswagen Polo",3495,127000,2015,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"SKODA Fabia",2500,104000,2013,4,"Diesel","Estate","1.6L","Manual",5,5
"Peugeot 308",9149,55301,2016,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Vauxhall Corsa",1995,92741,2009,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Volkswagen Polo",1895,87100,2005,5,"Petrol","Hatchback","1.2L","Manual",3,5
"Vauxhall Adam",4990,67000,2014,NA,"Petrol","Hatchback","1.4L","Manual",3,4
"BMW X5",3889,65000,2004,NA,"Petrol","SUV","3.0L","Automatic",5,5
"MINI Hatch",3490,129000,2011,6,"Diesel","Hatchback","2.0L","Automatic",3,4
"Vauxhall Insignia",2490,164400,2014,4,"Diesel","Estate","2.0L","Manual",5,5
"Vauxhall Adam",4990,67000,2014,NA,"Petrol","Hatchback","1.4L","Manual",3,4
